resource_type_id,name,description
1,ambulance,"A vehicle equipped for taking sick or injured people to and from hospital, especially in emergencies."
2,police,"The civil force of a state, responsible for the prevention and detection of crime and the maintenance of public order."
3,medical,"Made up of different professionals, sometimes from more than one hospital"
4,fire truck,A vehicle carrying firefighters and equipment for fighting large fires; a fire engine.
